initial_point_key,starting_point,objective_value_20260310,cpu_time_s_20260310,termination_condition_20260310,feasible_20260310,objective_value_20260311_ngcut_conopt,cpu_time_s_20260311_ngcut_conopt,termination_condition_20260311_ngcut_conopt,feasible_20260311_ngcut_conopt
1,"(13, 4)",19346.12480109944,23.4375366801396,locallyOptimal,True,19346.12480109944,23.76393241621554,locallyOptimal,True
2,"(13, 3)",19346.12480109944,32.71508972533047,locallyOptimal,True,19346.12480109944,33.01500322390348,locallyOptimal,True
3,"(12, 4)",19346.12480109944,28.176234951242805,locallyOptimal,True,19346.12480109944,28.652955784462392,locallyOptimal,True
4,"(14, 4)",19346.12480109944,30.4744688635692,locallyOptimal,True,19346.12480109944,30.989505250006918,locallyOptimal,True
5,"(13, 5)",19346.12480109944,28.25435433164239,locallyOptimal,True,19346.12480109944,29.158837044611573,locallyOptimal,True
6,"(12, 3)",19346.12480109944,35.60168753378093,locallyOptimal,True,19346.12480109944,36.06336842849851,locallyOptimal,True
7,"(14, 3)",19346.12480109944,38.07904610969126,locallyOptimal,True,19346.12480109944,38.2481899401173,locallyOptimal,True
8,"(12, 5)",19346.12480109944,31.08043770119548,locallyOptimal,True,19346.12480109944,30.36356871854514,locallyOptimal,True
9,"(14, 5)",19346.12480109944,35.51301771681756,locallyOptimal,True,19346.12480109944,35.65715520642698,locallyOptimal,True
10,"(13, 2)",19346.12480109944,47.53509113099426,locallyOptimal,True,19346.12480109944,48.65505587682128,locallyOptimal,True
11,"(11, 4)",19346.12480109944,41.59775809105486,locallyOptimal,True,19346.12480109944,41.94835421536118,locallyOptimal,True
12,"(15, 4)",19346.12480109944,30.93367163743824,locallyOptimal,True,19346.12480109944,31.28511376772076,locallyOptimal,True
13,"(13, 6)",19346.12480109944,32.56229311134666,locallyOptimal,True,19346.12480109944,33.001832662150264,locallyOptimal,True
14,"(12, 2)",19346.12480109944,43.56647891364992,locallyOptimal,True,19346.12480109944,44.44090252742171,locallyOptimal,True
15,"(14, 2)",19346.12480109944,45.75715192500502,locallyOptimal,True,19346.12480109944,48.70626294519752,locallyOptimal,True
16,"(11, 3)",19346.12480109944,41.64321527723223,locallyOptimal,True,19346.12480109944,41.85922629199922,locallyOptimal,True
17,"(15, 3)",19346.12480109944,37.17245470453054,locallyOptimal,True,19346.12480109944,37.70339780300856,locallyOptimal,True
18,"(11, 5)",19346.12480109944,40.23506516963244,locallyOptimal,True,19346.12480109944,40.64138309191912,locallyOptimal,True
19,"(15, 5)",19346.12480109944,42.78077523224056,locallyOptimal,True,19346.12480109944,43.825148235075176,locallyOptimal,True
20,"(12, 6)",19346.12480109944,38.27750450372696,locallyOptimal,True,19346.12480109944,38.8838653145358,locallyOptimal,True
21,"(14, 6)",19346.12480109944,43.75820208992809,locallyOptimal,True,19346.12480109944,44.88845311850309,locallyOptimal,True
22,"(11, 2)",19346.12480109944,40.2002307837829,locallyOptimal,True,19346.12480109944,40.648367202840745,locallyOptimal,True
23,"(15, 2)",19346.12480109944,37.89476779382676,locallyOptimal,True,19346.12480109944,36.64247673470527,locallyOptimal,True
24,"(11, 6)",19346.12480109944,29.148814817890525,locallyOptimal,True,19346.12480109944,30.99279704783112,locallyOptimal,True
25,"(15, 6)",19346.12480109944,34.66202211380005,locallyOptimal,True,19346.12480109944,36.882313936948776,locallyOptimal,True
26,"(13, 1)",19346.12480109944,50.577969391830266,locallyOptimal,True,19346.12480109944,50.436779289506376,locallyOptimal,True
27,"(10, 4)",19346.12480109944,51.03585467021912,locallyOptimal,True,19346.12480109944,50.07159940339625,locallyOptimal,True
28,"(13, 7)",19346.12480109944,52.66077295690775,locallyOptimal,True,19346.12480109944,53.96249946206808,locallyOptimal,True
29,"(12, 1)",19346.12480109944,42.0576680554077,locallyOptimal,True,19346.12480109944,44.68894248921424,locallyOptimal,True
30,"(14, 1)",19346.12480109944,51.19904420431703,locallyOptimal,True,19346.12480109944,51.64133795443922,locallyOptimal,True
31,"(10, 3)",19346.12480109944,47.03525180462748,locallyOptimal,True,19346.12480109944,44.67059379816055,locallyOptimal,True
32,"(10, 5)",19346.12480109944,41.39012578316033,locallyOptimal,True,19346.12480109944,41.22459124028683,locallyOptimal,True
33,"(12, 7)",19346.12480109944,43.03873113356531,locallyOptimal,True,19346.12480109944,42.808008689433336,locallyOptimal,True
34,"(14, 7)",19346.12480109944,46.08551695663482,locallyOptimal,True,19346.12480109944,47.23445760458708,locallyOptimal,True
35,"(11, 1)",19346.12480109944,43.48318777605891,locallyOptimal,True,19346.12480109944,43.57272976636887,locallyOptimal,True
36,"(15, 1)",19346.12480109944,42.87444013636559,locallyOptimal,True,19346.12480109944,40.5883994968608,locallyOptimal,True
37,"(10, 2)",19346.12480109944,47.539340428076684,locallyOptimal,True,19346.12480109944,45.25142007134855,locallyOptimal,True
38,"(10, 6)",19346.12480109944,98.80066163185984,locallyOptimal,True,19346.12480109944,99.13888369686902,locallyOptimal,True
39,"(11, 7)",,85.80067025404423,locallyOptimal,False,,86.06578641291708,locallyOptimal,False
40,"(15, 7)",19346.12480109944,42.91175743285567,locallyOptimal,True,19346.12480109944,44.03762235958129,locallyOptimal,True
41,"(9, 4)",,62.95849941112101,locallyOptimal,False,,62.79017752315849,locallyOptimal,False
42,"(13, 8)",19346.12480109944,48.85519969370216,locallyOptimal,True,19346.12480109944,49.065920839086175,locallyOptimal,True
43,"(9, 3)",19346.12480109944,52.55751596298069,locallyOptimal,True,19346.12480109944,56.43008136656135,locallyOptimal,True
44,"(9, 5)",,85.02212894521654,locallyOptimal,False,,84.96503095515072,locallyOptimal,False
45,"(12, 8)",19346.12480109944,112.06117246113718,locallyOptimal,True,19346.12480109944,112.08976448141038,locallyOptimal,True
46,"(14, 8)",19346.12480109944,59.50981280300766,locallyOptimal,True,19346.12480109944,60.094650108367205,locallyOptimal,True
47,"(10, 1)",19346.12480109944,36.79329089820385,locallyOptimal,True,19346.12480109944,36.69719925150275,locallyOptimal,True
48,"(10, 7)",,46.50560781080276,locallyOptimal,False,,46.17497166991234,locallyOptimal,False
49,"(9, 2)",19346.12480109944,63.389775841496885,locallyOptimal,True,19346.12480109944,60.03063004370779,locallyOptimal,True
50,"(9, 6)",,52.274513577111065,locallyOptimal,False,,52.51395717356354,locallyOptimal,False
