step,e1,e2
1,12,2
2,11,1
3,11,2
4,11,3
5,12,1
6,12,3
7,13,1
8,13,2
9,13,3
10,12,4
11,11,4
12,13,4
13,14,5
14,12,5
15,13,5
16,14,3
17,14,4
