initial_point_key,starting_point,objective_value_20260311_ipopt_preprocess_off,cpu_time_s_20260311_ipopt_preprocess_off,termination_condition_20260311_ipopt_preprocess_off,feasible_20260311_ipopt_preprocess_off,objective_value_20260311_ngcut_ipopt,cpu_time_s_20260311_ngcut_ipopt,termination_condition_20260311_ngcut_ipopt,feasible_20260311_ngcut_ipopt
1,"(13, 4)",19346.124748130627,32.87293849233538,optimal,True,19346.124748130627,33.5919207027182,optimal,True
2,"(13, 3)",19346.124748130627,23.27479716297239,optimal,True,19346.124748130627,23.650296634994447,optimal,True
3,"(12, 4)",19346.124748130627,46.29087221529335,optimal,True,19346.124748130627,47.34857140481472,optimal,True
4,"(14, 4)",19346.124748130627,37.01747418381274,optimal,True,19346.124748130627,37.61821909341961,optimal,True
5,"(13, 5)",19346.124748130627,63.941789544187486,optimal,True,19346.124748130627,64.70441587548703,optimal,True
6,"(12, 3)",19346.124748130627,53.31851684488356,optimal,True,19346.124748130627,54.00310030765832,optimal,True
7,"(14, 3)",19346.124748130627,24.31750664394349,optimal,True,19346.124748130627,23.69842697493732,optimal,True
8,"(12, 5)",19346.124748130627,50.494700144045055,optimal,True,19346.124748130627,50.65255726315081,optimal,True
9,"(14, 5)",19346.124748130627,62.1946437722072,optimal,True,19346.124748130627,61.42629005666822,optimal,True
10,"(13, 2)",19449.851511657434,23.52025873865932,optimal,True,19449.851511657434,23.7871036529541,optimal,True
11,"(11, 4)",19346.124748130627,51.52613109070808,optimal,True,19346.124748130627,52.04068121034652,optimal,True
12,"(15, 4)",19740.34083216036,17.108174711465836,optimal,True,19740.34083216036,18.550613846629854,optimal,True
13,"(13, 6)",19346.124748130627,58.21902074292302,optimal,True,19346.124748130627,58.07647804636508,optimal,True
14,"(12, 2)",19346.124748130627,66.67798373289406,optimal,True,19346.124748130627,66.60708902031183,optimal,True
15,"(14, 2)",19346.124748130627,35.34454002697021,optimal,True,19346.124748130627,35.46156006399542,optimal,True
16,"(11, 3)",19346.124748130627,61.56217813771218,optimal,True,19346.124748130627,61.00059840176255,optimal,True
17,"(15, 3)",19346.124748130627,29.285931577906013,optimal,True,19346.124748130627,29.42129043955356,optimal,True
18,"(11, 5)",19346.124748130627,58.85488460492343,optimal,True,19346.124748130627,59.22908327169717,optimal,True
19,"(15, 5)",19740.34083216036,25.534473807550967,optimal,True,19740.34083216036,26.014222268015143,optimal,True
20,"(12, 6)",19346.124748130627,54.28232755884528,optimal,True,19346.124748130627,54.41340213082731,optimal,True
21,"(14, 6)",19346.124748130627,65.0514866784215,optimal,True,19346.124748130627,65.38436561543494,optimal,True
22,"(11, 2)",19346.124748130627,55.42254162300378,optimal,True,19346.124748130627,55.9558084262535,optimal,True
23,"(15, 2)",19346.124748130627,29.303303486667573,optimal,True,19346.124748130627,29.958837968297303,optimal,True
24,"(11, 6)",19346.124748130627,71.97327777557075,optimal,True,19346.124748130627,70.36088227760047,optimal,True
25,"(15, 6)",19740.34083216036,37.28387259040028,optimal,True,19740.34083216036,36.01791331265122,optimal,True
26,"(13, 1)",19449.851511657434,28.287527951411903,optimal,True,19449.851511657434,29.87845480814576,optimal,True
27,"(10, 4)",19853.732163455534,26.20463210716844,optimal,True,19853.732163455534,26.72885610163212,optimal,True
28,"(13, 7)",19346.124748130627,60.54486428294331,optimal,True,19346.124748130627,60.716965049505234,optimal,True
29,"(12, 1)",19346.124748130627,59.07017373293638,optimal,True,19346.124748130627,57.55250396672636,optimal,True
30,"(14, 1)",19449.851511657434,27.995156726799905,optimal,True,19449.851511657434,30.021551392041147,optimal,True
31,"(10, 3)",19548.71945484905,27.97396470606327,optimal,True,19548.71945484905,27.89072479400784,optimal,True
32,"(10, 5)",19346.124748130627,45.812315348535776,optimal,True,19346.124748130627,46.32249237410724,optimal,True
33,"(12, 7)",19346.124748130627,64.59108848590404,optimal,True,19346.124748130627,63.65670675132424,optimal,True
34,"(14, 7)",19853.732163455534,29.132385117933158,optimal,True,19853.732163455534,28.86555089894682,optimal,True
35,"(11, 1)",19853.732163455534,24.38531231787056,optimal,True,19853.732163455534,26.574810636229813,optimal,True
36,"(15, 1)",19346.124748130627,34.42446214798838,optimal,True,19346.124748130627,37.6161023247987,optimal,True
37,"(10, 2)",19449.851511657434,49.17078472394496,optimal,True,19449.851511657434,50.781793707981706,optimal,True
38,"(10, 6)",19346.124748130627,84.96325151156634,optimal,True,19346.124748130627,76.46201436687261,optimal,True
39,"(11, 7)",19346.124748130627,110.26945219840854,optimal,True,19346.124748130627,78.03112126793712,optimal,True
40,"(15, 7)",19346.124748130627,78.88204541057348,optimal,True,19346.124748130627,57.44576295465231,optimal,True
41,"(9, 4)",19548.71945484905,25.82145097479224,optimal,True,19548.71945484905,22.492449923418462,optimal,True
