step,e1,e2
1,9,9
2,8,8
3,7,9
4,6,8
5,5,9
6,4,8
7,3,9
8,2,8
9,1,9
10,1,10
11,2,11
12,1,12
13,2,13
14,1,14
15,2,15
16,3,15
17,4,14
18,5,15
19,6,14
20,7,15
21,8,14
22,9,15
23,10,14
24,11,15
25,12,14
26,13,15
27,14,14
28,15,15
