step,e1,e2
1,13,9
2,12,8
3,11,9
4,10,8
5,9,9
6,8,8
7,7,9
8,6,8
9,5,9
10,4,8
11,3,9
12,2,8
13,1,9
14,1,10
15,2,11
16,1,12
17,2,13
18,1,14
19,2,15
20,3,15
21,4,14
22,5,15
23,6,14
24,7,15
25,8,14
26,9,15
27,10,14
28,11,15
29,12,14
30,13,15
31,14,14
32,15,15
