initial_point_key,starting_point,objective_value_20260311_ipopt_preprocess_off,cpu_time_s_20260311_ipopt_preprocess_off,termination_condition_20260311_ipopt_preprocess_off,feasible_20260311_ipopt_preprocess_off,objective_value_20260311_ipopt_preprocess_on,cpu_time_s_20260311_ipopt_preprocess_on,termination_condition_20260311_ipopt_preprocess_on,feasible_20260311_ipopt_preprocess_on
1,"(13, 4)",19346.124748130627,32.87293849233538,optimal,True,19346.124748130627,66.84437777660787,optimal,True
2,"(13, 3)",19346.124748130627,23.27479716297239,optimal,True,19346.124748130627,57.14992092270404,optimal,True
3,"(12, 4)",19346.124748130627,46.29087221529335,optimal,True,19346.124748130627,78.72431310452521,optimal,True
4,"(14, 4)",19346.124748130627,37.01747418381274,optimal,True,19346.124748130627,72.16198416706175,optimal,True
5,"(13, 5)",19346.124748130627,63.941789544187486,optimal,True,19346.124748130627,96.0929265441373,optimal,True
6,"(12, 3)",19346.124748130627,53.31851684488356,optimal,True,19346.124748130627,87.00521216262132,optimal,True
7,"(14, 3)",19346.124748130627,24.31750664394349,optimal,True,19346.124748130627,59.6075137341395,optimal,True
8,"(12, 5)",19346.124748130627,50.494700144045055,optimal,True,19346.124748130627,88.22720463201404,optimal,True
9,"(14, 5)",19346.124748130627,62.1946437722072,optimal,True,19346.124748130627,96.56077910866588,optimal,True
10,"(13, 2)",19449.851511657434,23.52025873865932,optimal,True,19449.851511657434,57.56124224886298,optimal,True
11,"(11, 4)",19346.124748130627,51.52613109070808,optimal,True,19346.124748130627,92.22638629935682,optimal,True
12,"(15, 4)",19740.34083216036,17.108174711465836,optimal,True,19740.34083216036,37.18768323864788,optimal,True
13,"(13, 6)",19346.124748130627,58.21902074292302,optimal,True,19346.124748130627,95.06137907039374,optimal,True
14,"(12, 2)",19346.124748130627,66.67798373289406,optimal,True,19346.124748130627,102.08378240279852,optimal,True
15,"(14, 2)",19346.124748130627,35.34454002697021,optimal,True,19346.124748130627,106.72758227866144,optimal,True
16,"(11, 3)",19346.124748130627,61.56217813771218,optimal,True,19346.124748130627,106.994493749924,optimal,True
17,"(15, 3)",19346.124748130627,29.285931577906013,optimal,True,19346.124748130627,50.97237722482532,optimal,True
18,"(11, 5)",19346.124748130627,58.85488460492343,optimal,True,19346.124748130627,94.14631791878492,optimal,True
19,"(15, 5)",19740.34083216036,25.534473807550967,optimal,True,19740.34083216036,51.26871923729777,optimal,True
20,"(12, 6)",19346.124748130627,54.28232755884528,optimal,True,19346.124748130627,90.79593028314412,optimal,True
21,"(14, 6)",19346.124748130627,65.0514866784215,optimal,True,19346.124748130627,102.87175495922564,optimal,True
22,"(11, 2)",19346.124748130627,55.42254162300378,optimal,True,19346.124748130627,93.21324485260992,optimal,True
23,"(15, 2)",19346.124748130627,29.303303486667573,optimal,True,19346.124748130627,49.12645701132715,optimal,True
24,"(11, 6)",19346.124748130627,71.97327777557075,optimal,True,19346.124748130627,87.72136303782463,optimal,True
25,"(15, 6)",19740.34083216036,37.28387259040028,optimal,True,19740.34083216036,64.71624846756458,optimal,True
26,"(13, 1)",19449.851511657434,28.287527951411903,optimal,True,19449.851511657434,54.60705246869475,optimal,True
27,"(10, 4)",19853.732163455534,26.20463210716844,optimal,True,19346.124748130627,56.15772088430822,optimal,True
28,"(13, 7)",19346.124748130627,60.54486428294331,optimal,True,19346.124748130627,104.5552442697808,optimal,True
29,"(12, 1)",19346.124748130627,59.07017373293638,optimal,True,19346.124748130627,78.11128920689225,optimal,True
30,"(14, 1)",19449.851511657434,27.995156726799905,optimal,True,19449.851511657434,50.79114224202931,optimal,True
31,"(10, 3)",19548.71945484905,27.97396470606327,optimal,True,19346.124748130627,57.08979191724211,optimal,True
32,"(10, 5)",19346.124748130627,45.812315348535776,optimal,True,19346.124748130627,91.15962024591865,optimal,True
33,"(12, 7)",19346.124748130627,64.59108848590404,optimal,True,19346.124748130627,90.05162810813636,optimal,True
34,"(14, 7)",19853.732163455534,29.132385117933158,optimal,True,19346.124748130627,56.39465211890638,optimal,True
35,"(11, 1)",19853.732163455534,24.38531231787056,optimal,True,19853.732163455534,45.10432821884751,optimal,True
36,"(15, 1)",19346.124748130627,34.42446214798838,optimal,True,19346.124748130627,48.62697204388678,optimal,True
37,"(10, 2)",19449.851511657434,49.17078472394496,optimal,True,19449.851511657434,78.63779435120523,optimal,True
38,"(10, 6)",19346.124748130627,84.96325151156634,optimal,True,,6.821159438230097,unknown,False
39,"(11, 7)",19346.124748130627,110.26945219840854,optimal,True,,6.822264498099685,unknown,False
40,"(15, 7)",19346.124748130627,78.88204541057348,optimal,True,19346.124748130627,63.17851247545332,optimal,True
41,"(9, 4)",19548.71945484905,25.82145097479224,optimal,True,19346.124748130627,54.9840337978676,optimal,True
42,"(13, 8)",19346.124748130627,103.2299374891445,optimal,True,19346.124748130627,63.48639223538339,optimal,True
43,"(9, 3)",19548.71945484905,27.698363774456084,optimal,True,19346.124748130627,55.15706343576312,optimal,True
44,"(9, 5)",19346.124748130627,91.1295069437474,optimal,True,,6.8373597944155335,unknown,False
45,"(12, 8)",19346.124748130627,78.48150212317705,optimal,True,,6.852050201036036,unknown,False
46,"(14, 8)",19346.124748130627,71.86323732417077,optimal,True,19346.124748130627,65.03093285951763,optimal,True
47,"(10, 1)",19853.732163455534,40.740370376966894,optimal,True,19853.732163455534,76.56710828933865,optimal,True
48,"(10, 7)",19346.124748130627,74.08695734385401,optimal,True,,6.875958818942308,unknown,False
49,"(9, 2)",19346.124748130627,68.96369801461697,optimal,True,19346.124748130627,65.96148086432368,optimal,True
50,"(9, 6)",19346.124748130627,84.85776026174426,optimal,True,,6.909914908930659,unknown,False
51,"(11, 8)",19346.124748130627,65.79705806542188,optimal,True,,6.923772479407489,unknown,False
52,"(15, 8)",19346.124748130627,70.86381254531443,optimal,True,19346.124748130627,54.00264257192612,optimal,True
53,"(9, 1)",,4.257377514615655,optimal,False,,20.931721112690862,optimal,False
54,"(9, 7)",19346.124748130627,68.5324333878234,optimal,True,,6.934618297964335,unknown,False
55,"(10, 8)",19346.124748130627,58.13596305157989,optimal,True,,6.931549969129264,unknown,False
56,"(13, 9)",19346.124748130627,58.62884938158095,optimal,True,,7.003817184828222,unknown,False
57,"(12, 9)",19346.124748130627,63.94064318109304,optimal,True,,6.922322088852525,unknown,False
58,"(14, 9)",19346.124748130627,73.30124730058014,optimal,True,19346.124748130627,55.64556830655784,optimal,True
59,"(11, 9)",19346.124748130627,66.53860748466104,optimal,True,,6.918169832788408,unknown,False
60,"(15, 9)",19346.124748130627,81.10432646051049,optimal,True,19346.124748130627,64.76020512077957,optimal,True
61,"(9, 8)",19346.124748130627,63.22696808446199,optimal,True,,6.891490614041686,unknown,False
62,"(10, 9)",19346.124748130627,64.32950296159834,optimal,True,,6.890334506519139,unknown,False
63,"(9, 9)",,1.683590949513018,optimal,False,,6.903130664490163,unknown,False
